Average infiltration rate,Drainage Area Ratio,Age,Ponding depth,Underdrain,% Residential,% Vegetation_shrub,% Vegetation_tree,% Vegetation_grass,% Vegetation_prairie,% Vegetation_other,% of surface with poor infiltration,Vegetation condition,Soil_PC_1,Soil_PC_2,Engineered soil depth,Engineered soil _% sand,Engineered soil _% compost
4.21581834,8,7,4,0,30,40,10,0,30,0,0,2,-0.846560537,-1.909577908,,,
12.40651062,56,7,4,0,0,20,20,0,40,0,0,2,-0.846560537,-1.909577908,,,
7.618095,9,5,3,0,100,90,0,0,0,0,0,2,0.778346161,1.013715308,,,
3.78018934,4,5,4,0,100,90,0,0,0,0,0,2,0.778346161,1.013715308,,,
9.9531297,4,1,4,1,0,10,10,0,30,50,0,2,-0.422835772,1.274659782,,,
30.684978,8,4,4,0,0,50,10,0,40,0,0,3,2.353438297,0.590847953,,,
6.2539245,8,3,6,0,0,0,0,0,50,30,0,2,1.293493748,-0.178246036,,,
8.90147826,3,4,8.5,1,0,25,25,0,20,25,0,3,2.376850923,0.652855698,,,
10.66108104,13,2,5,0,0,0,5,0,90,5,20,3,2.353438297,0.590847953,,,
14.75004924,21,25,6,0,10,0,7,0,90,0,0,3,-0.846560537,-1.909577908,,,
14.30288478,5,9,6,1,100,20,10,40,30,0,0,3,1.937012688,0.202132401,18,0,0
4.05211788,7,5,8,1,0,0,0,0,70,20,0,3,-0.854442219,-2.010934821,12,50,20
17.5497523,1,4,0,0,0,0,0,0,90,0,0,3,2.192637373,0.444570318,0,0,0
4.95495072,10,5,18,1,0,0,0,0,90,10,0,3,0.386453152,-0.115496216,24,25,15
17.610201,59,7,6,1,10,0,10,20,70,0,0,3,-1.505470445,-0.270295946,,,
14.78298119,14,5,4,0,0,5,5,0,70,20,0,3,-1.993101538,1.59851492,,,
11.05904867,14,10,6,1,0,0,0,0,100,0,0,3,1.129273464,-0.429724838,,,
18.35958005,22,11,6,0,0,0,1,0,98,1,0,3,2.223020535,0.422849328,,,
5.99597226,3,6,36,0,0,0,25,0,75,0,0,3,0.956341415,-0.566344709,,,
1.8283428,4,14,18,0,0,25,10,0,60,5,0,3,2.16425503,0.385085359,,,
10.38687198,4,3,12,0,0,0,5,0,80,10,0,3,-1.18043519,-2.268820011,,,
3.890813399,4,3,8,0,0,5,5,0,90,0,0,3,-1.18043519,-2.268820011,,,
6.404199475,8,4,12,0,0,30,10,0,50,5,0,3,-1.993101538,1.59851492,,,
12.59840323,6,4,12,0,0,5,0,0,90,5,0,3,-1.993101538,1.59851492,,,
9.013108332,9,11,15,0,0,0,0,0,85,0,0,3,2.076050451,0.306725717,,,
9.339211589,16,11,6,0,0,0,0,0,75,25,0,3,2.223020535,0.422849328,,,
2.283180749,12,3,3,0,0,0,10,0,25,65,2,3,-1.993101538,1.59851492,,,
20.5511811,46,11,3,1,100,0,0,0,75,25,0,3,1.197285416,-0.382958154,,,
4.446192525,8,11,2,0,0,10,0,0,70,10,0,3,0.838455871,-0.674904295,,,
33.07082362,33,11,8,0,0,0,0,0,50,50,0,3,2.076050451,0.306725717,,,
17.8302978,30,14,6,1,0,0,0,0,80,20,0,3,1.945937635,0.19489671,,,
1.299212598,40,14,6,0,0,0,0,0,100,0,0,3,1.945937635,0.19489671,,,
1.673287992,530,2,4,0,5,0,0,0,80,20,0,3,1.422460932,-0.222817137,,,
13.10099742,175,2,8,0,100,5,0,0,75,0,0,3,-1.064986571,-2.172430042,,,
5.06195838,2,2,3,1,0,30,0,0,20,50,0,3,-1.284926733,0.394048143,,,
6.00376752,20839,18,36,0,0,0,0,100,0,0,25,3,-0.982086058,-2.110655859,,,
5.6444769,29,10,14,0,50,0,0,0,80,0,0,3,-0.913753587,-2.064505658,,,
1.69653204,52,1,8,0,100,0,0,0,80,0,0,3,-1.376769661,0.279042438,1,0,0
9.57470526,100,14,4,0,100,0,0,100,0,0,0,3,-1.028464031,-2.145458649,30,0,0
50,25,11,3,0,0,0,0,0,90,5,0,3,-1.639883265,1.08375056,,,
8.35439274,27,2,6,0,100,0,10,0,80,0,0,3,-1.145451141,-2.238889498,4,50,25
6.3141606,216,15,3,0,100,10,30,0,50,0,10,3,-1.509998665,0.402495363,,,
0.894470652,124,9,3,0,0,0,0,0,100,0,0,3,-1.706699594,1.266428122,,,
3.82392936,41,1,36,0,0,0,5,0,90,0,0,3,-1.075515094,-2.178966824,0,0,0
2.2960584,15,24,12,0,80,10,5,0,85,0,10,3,-1.359917031,-0.373809506,,,
3.22015104,30,1,10,0,0,0,0,0,90,10,20,3,0.220043694,-1.158031636,,,
26.539317,75,4,8,0,20,0,5,0,85,0,0,3,-0.878577226,-2.034945035,,,
2.88637218,95,12,12,0,0,10,10,0,70,0,0,3,-1.028399927,-2.145581946,,,
0.025,16,7,18,0,0,5,0,0,95,0,50,3,-0.993544085,-2.11540484,,,
