Index,Average infiltration rate,High Low Inf,High Med Low Inf,Area,Contributing area,Drainage Area Ratio,Age,Ponding depth,Inlet condition,Outlet condition,Underdrain,% Residential,% Commercial,% Industrial,% Institutional,% Vegetation_shrub,% Vegetation_tree,% Vegetation_grass,% Vegetation_prairie,% Vegetation_bare,% Vegetation_other,Underlying soil_% sand,Underlying soil_% silt,Underlying soil_% clay,Underlying soil_% urban/disturbed,Underlying soil_% other/undefined,Underlying soil_% organic matter,Evidence of poor infiltration,% of surface with poor infiltration,Vegetation condition,Inlet feature_Curb Cut,Inlet feature_Other,Inlet feature_Overland Flow,Inlet feature_Pipe,Outlet feature_Other,Outlet feature_Overland Flow,Outlet feature_Pipe,Outlet feature_Riser Pipe,Engineered soil depth,Engineered soil _% sand,Engineered soil _% silt,Engineered soil _% clay,Engineered soil _% compost,Engineered soil _% other,Area_PC,LandUse_PC_1,LandUse_PC_2,Veg_PC_1,Veg_PC_2,Soil_PC_1,Soil_PC_2,EngSoil_PC_1,EngSoil_PC_2,PoorInf_PC,Inlet_PC_1,Inlet_PC_2,Outlet_PC_1,Outlet_PC_2
IN_2022_01,14.30288478,High,High,8200,39204,5,9,6,3,2,1,100,0,0,0,20,10,40,30,0,0,22,45,33,0,0,0.75,0,0,3,0,0,0,1,0,0,0,1,18,0,0,0,0,100,0.14576941,-1.750501681,1.027556219,0.663222228,-0.329635375,1.746924859,-0.398601727,-3.523913919,-0.585047819,-0.404804717,0.98485969,-1.529803864,1.097769134,-0.114828893
IN_2022_02,4.05211788,Low,Low,3678,24394,7,5,8,3,3,1,0,0,0,100,0,0,0,70,10,20,92,4,4,0,0,0.27,0,0,3,1,0,0,0,0,0,0,1,12,50,0,0,20,30,0.43487144,1.444004353,0.403568291,-1.286496973,-0.143333367,-0.638478188,2.330819837,-0.877646265,0.407559215,-0.404804717,0.98485969,1.529803864,1.097769134,-0.114828893
IN_2022_03,17.5497523,High,High,27300,26136,1,4,0,3,3,0,0,0,0,100,0,0,0,90,10,0,15,50,35,0,0,5,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-0.973518947,1.444004353,0.403568291,-1.676495089,-0.159178189,2.033901351,-0.431213955,-1.273870942,-0.131969484,-0.404804717,0.98485969,-1.529803864,-1.805924273,-0.353112576
IN_2022_04,4.95495072,Low,Low,4432,43560,10,5,18,2,3,1,0,40,0,60,0,0,0,90,0,10,36,28,16,20,0,0.4,0,0,3,0,0,0,1,0,0,0,1,24,25,0,0,15,60,0.340117604,0.560574658,-0.865342349,-1.584489847,-0.25916107,0.275993723,0.197714222,-2.088277943,-0.066090385,-0.404804717,0.98485969,-1.529803864,1.097769134,-0.114828893
MI_2022_06,1.69653204,Low,Low,434,22651,52,1,8,3,3,0,100,0,0,0,0,0,0,80,20,0,33,3,4,60,0,0.1,0,0,3,1,0,0,0,0,1,0,0,1,0,0,0,0,100,0.384423302,-1.750501681,1.027556219,-1.573501273,-0.051272898,-1.512943406,0.087367793,-3.523913919,-0.585047819,-0.404804717,0.98485969,1.529803864,-1.805924273,-0.353112576
MI_2022_07,9.57470526,Low,Medium,120,12023,100,14,4,2,2,0,100,0,0,0,0,0,100,0,0,0,96,3,1,0,0,0.09,0,0,3,1,0,0,0,0,1,0,0,30,0,0,0,0,100,0.153639504,-1.750501681,1.027556219,1.650535208,-2.305388353,-0.790659763,2.49375743,-3.523913919,-0.585047819,-0.404804717,0.98485969,1.529803864,-1.805924273,-0.353112576
MI_2022_09,8.35439274,Low,Medium,135,3659,27,2,6,3,3,0,100,0,0,0,0,10,0,80,10,0,99,1,0,0,0,0.09,0,0,3,1,0,0,0,0,1,0,0,4,50,0,0,25,25,0.573868451,-1.750501681,1.027556219,-1.296610004,0.060726506,-0.890117068,2.609087576,-0.765144116,0.430213131,-0.404804717,0.98485969,1.529803864,-1.805924273,-0.353112576
MI_2022_12,3.82392936,Low,Low,686,28314,41,1,36,3,3,0,0,0,0,100,0,5,0,90,5,0,97,3,0,0,0,0.28,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.420939909,1.444004353,0.403568291,-1.538049454,-0.103178487,-0.828045076,2.550210947,-1.273870942,-0.131969484,-0.404804717,-1.570929293,9.55E-15,-1.805924273,-0.353112576
MI_2022_18,23.365,High,High,365,52490,144,10,12,2,3,0,50,50,0,0,0,0,0,95,5,0,94,1,5,0,0,0.25,0,0,3,1,0,0,0,0,0,0,1,39,0,0,0,75,25,-0.174441997,-1.257535783,-0.870576046,-1.727991997,-0.213130835,-0.687956151,2.387592528,-1.836381686,-0.245239068,-0.404804717,0.98485969,1.529803864,1.097769134,-0.114828893
MI_2023_09,34.02,High,High,5930,32336,5,2,18,3,3,1,0,50,0,50,15,0,0,75,5,5,97,2,1,0,0,0.5,0,0,3,1,0,0,0,0,0,0,1,18,60,0,0,25,15,0.295546721,0.339717234,-1.18257001,-1.112380166,0.19047939,-0.814764815,2.550844511,-0.325892305,0.610611405,-0.404804717,0.98485969,1.529803864,1.097769134,-0.114828893
