Average infiltration rate,Area,Contributing area,Drainage Area Ratio,Age,Ponding depth,Inlet condition,Outlet condition,Underdrain,% Residential,% Commercial,% Industrial,% Institutional,% Vegetation_shrub,% Vegetation_tree,% Vegetation_grass,% Vegetation_prairie,% Vegetation_bare,% Vegetation_other,Underlying soil_% sand,Underlying soil_% silt,Underlying soil_% clay,Underlying soil_% urban/disturbed,Underlying soil_% other/undefined,Underlying soil_% organic matter,Evidence of poor infiltration,% of surface with poor infiltration,Vegetation condition,Inlet feature_Curb Cut,Inlet feature_Other,Inlet feature_Overland Flow,Inlet feature_Pipe,Outlet feature_Other,Outlet feature_Overland Flow,Outlet feature_Pipe,Outlet feature_Riser Pipe,Engineered soil depth,Engineered soil _% sand,Engineered soil _% silt,Engineered soil _% clay,Engineered soil _% compost,Engineered soil _% other
14.30288478,8200,39204,5,9,6,3,2,1,100,0,0,0,20,10,40,30,0,0,22,45,33,0,0,0.75,0,0,3,0,0,0,1,0,0,0,1,18,0,0,0,0,100
4.05211788,3678,24394,7,5,8,3,3,1,0,0,0,100,0,0,0,70,10,20,92,4,4,0,0,0.27,0,0,3,1,0,0,0,0,0,0,1,12,50,0,0,20,30
17.5497523,27300,26136,1,4,0,3,3,0,0,0,0,100,0,0,0,90,10,0,15,50,35,0,0,5,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0
4.95495072,4432,43560,10,5,18,2,3,1,0,40,0,60,0,0,0,90,0,10,36,28,16,20,0,0.4,0,0,3,0,0,0,1,0,0,0,1,24,25,0,0,15,60
1.69653204,434,22651,52,1,8,3,3,0,100,0,0,0,0,0,0,80,20,0,33,3,4,60,0,0.1,0,0,3,1,0,0,0,0,1,0,0,1,0,0,0,0,100
9.57470526,120,12023,100,14,4,2,2,0,100,0,0,0,0,0,100,0,0,0,96,3,1,0,0,0.09,0,0,3,1,0,0,0,0,1,0,0,30,0,0,0,0,100
8.35439274,135,3659,27,2,6,3,3,0,100,0,0,0,0,10,0,80,10,0,99,1,0,0,0,0.09,0,0,3,1,0,0,0,0,1,0,0,4,50,0,0,25,25
3.82392936,686,28314,41,1,36,3,3,0,0,0,0,100,0,5,0,90,5,0,97,3,0,0,0,0.28,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0
23.365,365,52490,144,10,12,2,3,0,50,50,0,0,0,0,0,95,5,0,94,1,5,0,0,0.25,0,0,3,1,0,0,0,0,0,0,1,39,0,0,0,75,25
34.02,5930,32336,5,2,18,3,3,1,0,50,0,50,15,0,0,75,5,5,97,2,1,0,0,0.5,0,0,3,1,0,0,0,0,0,0,1,18,60,0,0,25,15
17.362,1225,63162,52,8,1.4,3,3,1,90,10,0,0,10,10,60,0,10,10,88,2,5,0,5,3.49,0,0,2,0,0,1,0,0,0,0,1,18,70,0,0,30,0
0.05,6662,191664,29,17,18,3,2,0,10,60,10,20,0,10,10,70,10,0,2,8,21,64,5,0,1,5,3,1,0,0,0,1,0,0,0,24,0,60,0,0,40
6.93211212,1435,101495,71,3,14,3,3,1,100,0,0,0,10,10,50,20,0,10,4,7,4,80,5,0.07,1,5,3,0,0,0,1,0,0,0,1,30,50,0,0,0,50
11.91186594,20550,37026,2,3,6,3,3,1,90,10,0,0,10,10,70,0,10,0,3,18,18,61,0,0.31,0,0,3,1,0,0,0,0,0,0,1,18,0,0,0,0,100
12.39162876,260,1045,4,5,13.5,2,2,1,0,0,100,0,40,10,30,20,0,0,14,59,27,0,0,0.5,0,0,3,0,0,1,0,0,0,0,1,12,70,10,10,0,10
29.2818312,116,392,3,5,6,3,3,1,0,100,0,0,20,10,0,0,0,70,8,1,1,80,10,0.04,0,0,3,1,0,0,0,0,0,0,1,34,50,0,0,20,30
0.58873903,2423,46696,19,5,5,3,3,0,100,0,0,0,30,0,70,0,0,0,57,32,11,0,0,59.38,0,0,3,0,0,1,0,0,0,0,1,32,70,0,20,10,0
3.943409436,2697,16901,6,14,6,3,3,1,0,0,0,100,40,10,10,0,30,10,41,42,17,0,0,0.53,1,80,3,0,0,1,0,0,0,0,1,14,80,10,0,10,0
21.7842084,937,12110,13,9,8,2,3,1,0,50,50,0,40,10,0,0,30,20,8,1,1,80,10,0.04,0,0,3,1,0,0,0,0,0,0,1,24,0,0,0,0,100
13.80753144,870,23217,27,1,0,3,3,1,50,50,0,0,20,10,50,20,0,0,14,0,0,0,86,0.06,1,5,3,0,0,0,1,0,0,0,1,36,60,0,4,5,31
16.724376,1324,12937,10,13,4,3,3,1,0,100,0,0,10,40,0,10,0,40,0,0,0,0,100,0,1,7,3,1,0,0,0,0,0,0,1,4,40,40,10,10,0
