Inf High Medium Low,Inf High Low 6,Inf High Low Median,Average infiltration rate,Drainage Area Ratio,Age,Ponding Depth,Underdrain,Percent Residential,Percent Vegetation Shrub,Percent Vegetation Tree,Percent Vegetation Grass,Percent Vegetation Prairie,Percent Vegetation Other,Percent Veg Other,Percent of Surface with Poor Infiltration,Vegetation Condition,Engineered Soil Depth,Engineered Soil Percent Sand,Engineered Soil Percent Compost,Underlying Soil Percent Sand,Underlying Soil Percent Silt,Underlying Soil Percent Clay,Underlying Soil Percent Urban Disturbed,Underlying Soil Percent Other Undefined,Underlying Soil Percent Organic Matter,Percent Nonresidential,Soil_PC_1,Soil_PC_2
High,High,High,14.31,5,9,6,1,100,20,10,40,30,0,30,0,3,18,0,0,22,45,33,0,0,0.75,0,1.746924859,-0.398601727
Low,Low,Low,4.06,7,5,8,1,0,0,0,0,70,20,20,0,3,12,50,20,92,4,4,0,0,0.27,100,-0.638478188,2.330819837
High,High,High,17.55,1,4,0,0,0,0,0,0,90,0,0,0,3,0,0,0,15,50,35,0,0,5,100,2.033901351,-0.431213955
Low,Low,Low,4.96,10,5,18,1,0,0,0,0,90,10,10,0,3,24,25,15,36,28,16,20,0,0.4,100,0.275993723,0.197714222
Low,Low,Low,1.7,52,1,8,0,100,0,0,0,80,0,0,0,3,1,0,0,33,3,4,60,0,0.1,0,-1.512943406,0.087367793
Medium,High,Low,9.58,100,14,4,0,100,0,0,100,0,0,0,0,3,30,0,0,96,3,1,0,0,0.09,0,-0.790659763,2.49375743
Medium,High,Low,8.36,27,2,6,0,100,0,10,0,80,0,10,0,3,4,50,25,99,1,0,0,0,0.09,0,-0.890117068,2.609087576
Low,Low,Low,3.82,41,1,36,0,0,0,5,0,90,0,5,0,3,0,0,0,97,3,0,0,0,0.28,100,-0.828045076,2.550210947
High,High,High,23.37,144,10,12,0,50,0,0,0,95,0,0,0,3,39,0,75,94,1,5,0,0,0.25,50,-0.687956151,2.387592528
High,High,High,34.02,5,2,18,1,0,15,0,0,75,5,20,0,3,18,60,25,97,2,1,0,0,0.5,100,-0.814764815,2.550844511
High,High,High,17.36,52,8,1.4,1,90,10,10,60,0,10,30,0,2,18,70,30,88,2,5,0,5,3.49,10,-0.658852512,2.365071548
Low,Low,Low,0.05,29,17,18,0,10,0,10,10,70,0,10,5,3,24,0,0,2,8,21,64,5,0,80,-0.787030527,-1.190696014
Low,High,Low,6.93,71,3,14,1,100,10,10,50,20,10,30,5,3,30,50,0,4,7,4,80,5,0.07,0,-1.720322836,-0.97436586
Medium,High,Low,11.92,2,3,6,1,90,10,10,70,0,0,20,0,3,18,0,0,3,18,18,61,0,0.31,10,-0.518216971,-1.103255431
Medium,High,High,12.39,4,5,13.5,1,0,40,10,30,20,0,50,0,3,12,70,0,14,59,27,0,0,0.5,0,1.919785904,-0.620937119
High,High,High,29.28,3,5,6,1,0,20,10,0,0,70,100,0,3,34,50,20,8,1,1,80,10,0.04,100,-2.064202846,-0.795289436
Low,Low,Low,0.59,19,5,5,0,100,30,0,70,0,0,30,0,3,32,70,10,57,32,11,0,0,59.38,0,1.285236675,4.274829197
Low,Low,Low,3.95,6,14,6,1,0,40,10,10,0,10,60,80,3,14,80,10,41,42,17,0,0,0.53,100,1.014821054,0.430088138
High,High,High,21.78,13,9,8,1,0,40,10,0,0,20,70,0,3,24,0,0,8,1,1,80,10,0.04,50,-2.064202846,-0.795289436
Medium,High,High,13.81,27,1,0,1,50,20,10,50,20,0,30,5,3,36,60,5,14,0,0,0,86,0.06,50,-1.695918257,-0.200585378
High,High,High,16.72,10,13,4,1,0,10,40,0,10,40,90,7,3,4,40,10,0,0,0,0,100,0,100,-1.823011527,-0.666630616
High,High,High,28.6,5,11,2.8,1,100,0,0,0,0,100,100,0,3,29,10,10,94,3,3,0,0,0.29,0,-0.707928845,2.412605415
High,High,High,31.99,83,8,7.9,1,0,0,0,0,90,0,0,0,3,24,88,6,38,41,21,0,0,1.35,0,1.156315084,0.325418688
Low,Low,Low,3.62,30,9,4,0,70,60,0,0,30,10,70,0,3,18,60,10,4,39,50,0,7,0.59,30,2.183082001,-1.213771623
Medium,High,Low,10.49,16,7,6,0,0,60,0,0,30,10,70,0,3,24,50,10,0,0,0,0,100,0,100,-1.823011527,-0.666630616
Low,Low,Low,3.05,6,12,7.1,1,100,0,0,0,75,25,25,0,3,30,50,0,14,17,6,60,3,0.21,0,-1.042255344,-0.582828579
Medium,High,Low,8.51,3,9,6,1,10,0,10,0,90,0,10,0,3,28,89,5,20,8,3,69,0,0.1,90,-1.530635605,-0.380096651
High,High,High,16.95,0,7,3,1,0,30,10,0,0,60,100,0,3,24,40,0,37,40,23,0,0,0.55,100,1.195589205,0.22415621
Low,High,Low,7.5,3,17,3.5,1,50,60,40,0,0,0,100,10,3,30,48,0,76,18,6,0,0,0.5,50,-0.139085356,1.766356376
Medium,High,High,12.54,33,9,10,1,0,40,0,20,40,0,40,0,3,30,60,10,59,30,11,0,0,0.51,100,0.417802728,1.120974012
