Index,Average infiltration rate,Area,Contributing area,Drainage Area Ratio,Age,Ponding depth,Inlet condition,Outlet condition,Underdrain,% Residential,% Commercial,% Industrial,% Institutional,% Vegetation_shrub,% Vegetation_tree,% Vegetation_grass,% Vegetation_prairie,% Vegetation_bare,% Vegetation_other,Underlying soil_% sand,Underlying soil_% silt,Underlying soil_% clay,Underlying soil_% urban/disturbed,Underlying soil_% other/undefined,Underlying soil_% organic matter,Evidence of poor infiltration,% of surface with poor infiltration,Vegetation condition,Inlet feature_Curb Cut,Inlet feature_Other,Inlet feature_Overland Flow,Inlet feature_Pipe,Outlet feature_Other,Outlet feature_Overland Flow,Outlet feature_Pipe,Outlet feature_Riser Pipe,Engineered soil depth,Engineered soil _% sand,Engineered soil _% silt,Engineered soil _% clay,Engineered soil _% compost,Engineered soil _% other
IL_2022_01,4.22,5700,43560,8,7,4,3,3,0,30,0,0,70,40,10,0,30,20,0,89,6,3,2,0,0.26,0,0,2,1,0,0,0,0,0,1,0,,,,,,
IL_2022_02,12.41,700,39204,56,7,4,3,3,0,0,0,0,100,20,20,0,40,20,0,89,6,3,2,0,0.26,0,0,2,1,0,0,0,0,0,1,0,,,,,,
IL_2022_03,7.62,1000,8712,9,5,3,3,3,0,100,0,0,0,90,0,0,0,10,0,4,38,20,38,0,0.5,0,0,2,1,0,0,0,0,0,1,0,,,,,,
IL_2022_04,3.78,1000,4356,4,5,4,3,3,0,100,0,0,0,90,0,0,0,10,0,4,38,20,38,0,0.5,0,0,2,1,0,0,0,0,0,1,0,,,,,,
IL_2022_06,9.95,1000,4356,4,1,4,3,3,1,0,0,0,100,10,10,0,30,0,50,2,22,11,65,0,0.32,0,0,2,0,0,1,0,0,0,1,0,,,,,,
IL_2022_07,30.69,4200,34848,8,4,4,3,3,0,0,0,0,100,50,10,0,40,0,0,9,57,33,1,0,0.35,0,0,3,1,0,0,0,0,0,1,0,,,,,,
IL_2022_08,6.26,5500,43560,8,3,6,3,3,0,0,0,0,100,0,0,0,50,20,30,35,34,28,2,1,1.31,0,0,2,1,0,0,0,0,0,0,1,,,,,,
IL_2023_01,8.9,3400,11000,3,4,8.5,3,3,1,0,0,0,100,25,25,0,20,5,25,10,41,46,1,2,2.05,0,0,3,0,0,1,0,0,0,0,1,,,,,,
IL_2023_02,10.66,1200,15000,13,2,5,2,3,0,0,0,0,100,0,5,0,90,0,5,9,57,33,1,0,0.35,1,20,3,0,0,0,1,0,0,0,1,,,,,,
IL_2023_03,14.75,1600,34000,21,25,6,2,3,0,10,0,0,90,0,7,0,90,3,0,89,6,3,2,0,0.26,0,0,3,1,0,0,0,0,0,0,1,,,,,,
IN_2022_01,14.31,8200,39204,5,9,6,3,2,1,100,0,0,0,20,10,40,30,0,0,22,45,33,0,0,0.75,0,0,3,0,0,0,1,0,0,0,1,18,0,0,0,0,100
IN_2022_02,4.06,3678,24394,7,5,8,3,3,1,0,0,0,100,0,0,0,70,10,20,92,4,4,0,0,0.27,0,0,3,1,0,0,0,0,0,0,1,12,50,0,0,20,30
IN_2022_03,17.55,27300,26136,1,4,0,3,3,0,0,0,0,100,0,0,0,90,10,0,15,50,35,0,0,5,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0
IN_2022_04,4.96,4432,43560,10,5,18,2,3,1,0,40,0,60,0,0,0,90,0,10,36,28,16,20,0,0.4,0,0,3,0,0,0,1,0,0,0,1,24,25,0,0,15,60
IN_2022_05,17.62,440,26136,59,7,6,1,3,1,10,90,0,0,0,10,20,70,0,0,48,1,1,50,0,0.13,0,0,3,1,0,0,0,0,0,0,1,,,,,,
IN_2023_01,14.78,215,3000,14,5,4,3,3,0,0,0,0,100,5,5,0,70,0,20,0,0,0,100,0,0,0,0,3,0,0,1,0,0,1,0,0,,,,,,
IN_2023_02,11.06,1600,23000,14,10,6,3,2,1,0,0,0,100,0,0,0,100,0,0,42,34,24,0,0,1.3,0,0,3,0,0,0,1,0,0,0,1,,,,,,
IN_2023_03,18.36,2000,43000,22,11,6,3,3,0,0,0,0,100,0,1,0,98,0,1,16,44,40,0,0,1.94,0,0,3,0,0,1,0,0,0,0,1,,,,,,
IN_2023_05,6,22275,65000,3,6,36,3,2,0,0,0,0,100,0,25,0,75,0,0,46,33,21,0,0,0.78,0,0,3,0,0,1,0,1,0,0,0,,,,,,
IN_2023_06,1.83,6460,27900,4,14,18,3,3,0,0,0,0,100,25,10,0,60,0,5,17,45,38,0,0,2.3,0,0,3,0,0,1,0,0,1,0,0,,,,,,
IN_2023_07,10.39,4500,17000,4,3,12,3,3,0,0,0,0,100,0,5,0,80,5,10,100,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,,,,,,
IN_2023_08,3.89,1000,4000,4,3,8,3,3,0,0,0,0,100,5,5,0,90,0,0,100,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,,,,,,
IN_2023_09,6.4,3600,30000,8,4,12,3,3,0,0,0,0,100,30,10,0,50,5,5,0,0,0,100,0,0,0,0,3,0,0,1,0,0,1,0,0,,,,,,
IN_2023_10,12.6,1800,10800,6,4,12,3,2,0,0,0,0,100,5,0,0,90,0,5,0,0,0,100,0,0,0,0,3,0,0,1,0,1,0,0,0,,,,,,
IN_2023_11,9.01,280,2600,9,11,15,3,3,0,0,0,0,100,0,0,0,85,15,0,19,45,36,0,0,0.84,0,0,3,0,0,1,0,0,1,0,0,,,,,,
IN_2023_12,9.34,1000,15700,16,11,6,3,3,0,0,0,0,100,0,0,0,75,0,25,16,44,40,0,0,1.94,0,0,3,0,0,1,0,0,0,0,1,,,,,,
IN_2023_13,2.28,4360,52000,12,3,3,3,3,0,0,0,0,100,0,10,0,25,0,65,0,0,0,100,0,0,1,2,3,0,0,0,1,0,0,0,1,,,,,,
IN_2023_14,20.55,1750,80000,46,11,3,3,3,1,100,0,0,0,0,0,0,75,0,25,41,32,27,0,0,1.54,0,0,3,0,0,0,1,0,0,0,1,,,,,,
IN_2023_15,4.45,835,6500,8,11,2,3,2,0,0,0,0,100,10,0,0,70,10,10,50,27,23,0,0,0.51,0,0,3,0,0,0,1,0,0,0,1,,,,,,
IN_2023_16,33.07,450,15000,33,11,8,3,2,0,0,0,0,100,0,0,0,50,0,50,19,45,36,0,0,0.84,0,0,3,0,0,1,0,0,0,0,1,,,,,,
IN_2023_17,17.83,791,23500,30,14,6,3,3,1,0,0,0,100,0,0,0,80,0,20,23,40,37,0,0,0.9,0,0,3,0,0,1,0,0,0,0,1,,,,,,
IN_2023_18,1.3,320,12700,40,14,6,3,3,0,0,0,0,100,0,0,0,100,0,0,23,40,37,0,0,0.9,0,0,3,0,0,0,1,0,0,0,1,,,,,,
MI_2022_01,1.68,407,215535,530,2,4,3,3,0,5,0,0,95,0,0,0,80,0,20,36,33,31,0,0,0.25,0,0,3,0,0,1,0,0,1,0,0,,,,,,
MI_2022_02,13.1,1200,210525,175,2,8,3,3,0,100,0,0,0,5,0,0,75,20,0,97,2,1,0,0,0.48,0,0,3,0,0,1,0,0,0,0,1,,,,,,
MI_2022_03,5.06,400,828,2,2,3,3,3,1,0,100,0,0,30,0,0,20,0,50,30,6,4,60,0,4.46,0,0,3,1,0,0,0,0,0,0,1,,,,,,
MI_2022_04,6,62,1291990,20839,18,36,3,3,0,0,100,0,0,0,0,100,0,0,0,95,3,2,0,0,0.11,1,25,3,0,0,0,1,0,0,0,1,,,,,,
MI_2022_05,5.65,650,18731,29,10,14,3,3,0,50,0,0,50,0,0,0,80,20,0,94,1,5,0,0,0.25,0,0,3,0,0,1,0,0,1,0,0,,,,,,
MI_2022_06,1.7,434,22651,52,1,8,3,3,0,100,0,0,0,0,0,0,80,20,0,33,3,4,60,0,0.1,0,0,3,1,0,0,0,0,1,0,0,1,0,0,0,0,100
MI_2022_07,9.58,120,12023,100,14,4,2,2,0,100,0,0,0,0,0,100,0,0,0,96,3,1,0,0,0.09,0,0,3,1,0,0,0,0,1,0,0,30,0,0,0,0,100
MI_2022_08,50,3500,87120,25,11,3,1,3,0,0,100,0,0,0,0,0,90,5,5,5,1,0,0,94,0.01,0,0,3,1,0,0,0,0,0,0,1,,,,,,
MI_2022_09,8.36,135,3659,27,2,6,3,3,0,100,0,0,0,0,10,0,80,10,0,99,1,0,0,0,0.09,0,0,3,1,0,0,0,0,1,0,0,4,50,0,0,25,25
MI_2022_10,6.31,21000,4530240,216,15,3,1,3,0,100,0,0,0,10,30,0,50,10,0,30,3,2,65,0,0.01,1,10,3,0,0,0,1,0,1,0,0,,,,,,
MI_2022_11,0.89,1400,174240,124,9,3,2,3,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,3,1,0,0,0,0,1,0,0,,,,,,
MI_2022_12,3.82,686,28314,41,1,36,3,3,0,0,0,0,100,0,5,0,90,5,0,97,3,0,0,0,0.28,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0
