Index,Average infiltration rate,Area,Contributing area,Drainage Area Ratio,Age,Ponding Depth,Inlet condition,Outlet condition,Underdrain,% Residential,% Commercial,% Industrial,% Institutional,Percent Vegetation Shrub,Percent Vegetation Tree,Percent Vegetation Grass,Percent Vegetation Prairie,Percent Vegetation Bare,Percent Vegetation Other,Underlying Soil Percent Sand,Underlying Soil Percent Silt,Underlying Soil Percent Clay,Underlying Soil Percent Urban Disturbed,Underlying Soil Percent Other Undefined,Underlying Soil Percent Organic Matter,Evidence of poor infiltration,Percent of Surface with Poor Infiltration,Vegetation Condition,Inlet feature_Curb Cut,Inlet feature_Other,Inlet feature_Overland Flow,Inlet feature_Pipe,Outlet feature_Other,Outlet feature_Overland Flow,Outlet feature_Pipe,Outlet feature_Riser Pipe,Engineered Soil Depth,Engineered Soil Percent Sand,Engineered soil _% silt,Engineered soil _% clay,Engineered Soil Percent Compost,Engineered soil _% other,Percent Nonresidential
IN_2023_01,14.78,215,3000,14,5,4,3,3,0,0,0,0,100,5,5,0,70,0,20,0,0,0,100,0,0,0,0,3,0,0,1,0,0,1,0,0,,,,,,,100
IN_2023_02,11.06,1600,23000,14,10,6,3,2,1,0,0,0,100,0,0,0,100,0,0,42,34,24,0,0,1.3,0,0,3,0,0,0,1,0,0,0,1,,,,,,,100
IN_2023_10,12.6,1800,10800,6,4,12,3,2,0,0,0,0,100,5,0,0,90,0,5,0,0,0,100,0,0,0,0,3,0,0,1,0,1,0,0,0,,,,,,,100
IN_2023_11,9.01,280,2600,9,11,15,3,3,0,0,0,0,100,0,0,0,85,15,0,19,45,36,0,0,0.84,0,0,3,0,0,1,0,0,1,0,0,,,,,,,100
IN_2023_12,9.34,1000,15700,16,11,6,3,3,0,0,0,0,100,0,0,0,75,0,25,16,44,40,0,0,1.94,0,0,3,0,0,1,0,0,0,0,1,,,,,,,100
IN_2023_17,17.83,791,23500,30,14,6,3,3,1,0,0,0,100,0,0,0,80,0,20,23,40,37,0,0,0.9,0,0,3,0,0,1,0,0,0,0,1,,,,,,,100
MI_2023_01,7.64,8959,90627,10,10,14,3,3,1,75,0,0,25,0,0,60,40,0,0,84,9,7,0,0,0.5,0,0,3,0,0,1,0,0,0,0,1,,,,,,,25
MI_2023_02,7.86,58148,463954,8,22,22,2,3,0,0,20,80,0,0,0,95,0,5,0,95,3,2,0,0,0.1,0,0,2,0,0,0,1,0,0,0,1,,,,,,,20
MI_2023_03,5.85,69792,5016073,72,22,10,2,3,0,80,0,0,20,0,0,10,85,5,0,95,3,2,0,0,0.1,0,0,1,0,0,0,1,0,0,0,1,,,,,,,20
MI_2023_04,8.77,8163,79110,10,23,6,2,3,0,40,0,60,0,0,0,100,0,0,0,95,3,2,0,0,0.1,0,0,2,0,0,0,1,0,0,0,1,,,,,,,0
MI_2023_05,3.2,89760,3049200,34,16,84,2,3,0,67,33,0,0,45,5,0,45,5,0,44,37,19,0,0,0.2,1,5,3,0,0,0,1,0,0,0,1,,,,,,,33
MI_2023_06,6.82,73436,165964,2,13,22,2,3,0,0,0,0,100,0,5,0,85,5,5,13,43,44,0,0,0.3,0,0,3,0,0,1,0,0,0,0,1,,,,,,,100
MI_2023_08,7.35,1342,78749,59,10,12,1,3,0,25,75,0,0,25,0,25,50,0,0,95,1,4,0,0,0.3,1,10,2,1,0,0,0,0,0,0,1,,,,,,,75
MI_2023_09,34.02,5930,32336,5,2,18,3,3,1,0,50,0,50,15,0,0,75,5,5,97,2,1,0,0,0.5,0,0,3,1,0,0,0,0,0,0,1,18,60,0,0,25,15,100
MI_2023_10,6.13,13592,40856,3,10,24,2,2,0,0,100,0,0,5,0,0,85,5,5,98,2,0,0,0,0.1,0,0,2,1,0,0,0,0,0,0,1,,,,,,,100
MI_2023_13,6.35,6749,19480,3,8,28,3,3,0,50,0,0,50,0,5,0,90,5,0,86,8,6,0,0,0.3,0,0,3,0,0,1,0,0,0,0,1,,,,,,,50
MI_2023_15,3.13,4043,48431,12,13,18,3,3,0,0,0,0,100,55,5,0,25,0,15,93,2,5,0,0,0.3,0,0,3,0,0,0,1,0,1,0,0,,,,,,,100
MI_2023_16,12.68,3860,1134014,294,7,12,2,1,0,50,0,0,50,30,10,0,60,0,0,32,42,21,5,0,2.6,0,0,1,1,0,0,0,0,1,0,0,,,,,,,50
NY_2023_01,8.51,348,1126,3,9,6,3,3,1,10,40,0,50,0,10,0,90,0,0,20,8,3,69,0,0.1,0,0,3,1,0,0,0,0,0,0,1,28,89,4,2,5,0,90
NY_2023_02,16.95,8500,1000,0,7,3,3,3,1,0,0,0,100,30,10,0,0,0,60,37,40,23,0,0,0.55,0,0,3,1,0,0,0,0,1,0,0,24,40,46,14,0,0,100
NY_2023_03,7.5,18735,52409,3,17,3.5,3,3,1,50,0,0,50,60,40,0,0,0,0,76,18,6,0,0,0.5,1,10,3,0,0,1,0,0,0,0,1,30,48,40,12,0,0,50
NY_2023_04,12.54,26136,855000,33,9,10,3,3,1,0,0,0,100,40,0,20,40,0,0,59,30,11,0,0,0.51,0,0,3,1,0,0,0,0,0,0,1,30,60,25,5,10,0,100
NY_2023_05,17.56,220,2365,11,7,3,2,2,1,0,100,0,0,90,10,0,0,0,0,37,33,15,0,15,0.8,0,0,3,1,0,0,0,0,1,0,0,16,50,45,5,0,0,100
NY_2023_06,12.85,245,855,3,6,2,3,3,1,0,70,0,30,75,10,0,0,0,15,5,7,4,79,5,0.1,0,0,3,1,0,0,0,0,0,0,1,16,50,45,5,0,0,100
NY_2023_09,21.39,2314,61000,26,10,5,3,3,1,100,0,0,0,95,5,0,0,0,0,26,48,21,0,5,0.6,0,0,3,0,0,0,1,0,0,0,1,24,88,4,2,6,0,0
NY_2023_10,16.46,615,48000,78,11,6,3,2,1,0,0,0,100,95,5,0,0,0,0,41,42,17,0,0,0.5,0,0,3,1,0,0,0,0,0,0,1,24,94,4,2,0,0,100
NY_2023_11,9.48,984,20593,21,6,24,1,3,0,100,0,0,0,100,0,0,0,0,0,26,62,12,0,0,0.9,0,0,3,0,0,0,1,0,1,0,0,24,89,4,2,5,0,0
NY_2023_12,13.19,7700,8400,1,16,6,3,2,1,0,0,0,100,40,10,0,50,0,0,65,18,12,0,5,0.6,0,0,3,0,0,0,1,0,0,0,1,21,50,0,0,25,25,100
NY_2023_14,13.82,4318,12877,3,9,8,3,2,1,50,50,0,0,50,0,0,50,0,0,20,8,3,69,0,0.1,0,0,3,1,0,0,0,0,0,0,1,30,79,5,3,13,0,50
NY_2023_15,8.97,2535,23700,9,11,6,3,3,1,30,0,0,70,0,0,0,90,0,10,41,42,17,0,0,0.5,0,0,2,0,0,0,1,0,0,0,1,24,82,5,3,10,0,70
NY_2023_16,6.7,4334,39000,9,2,12,2,3,1,80,10,0,10,0,0,0,100,0,0,38,41,21,0,0,1.4,0,0,2,0,0,0,1,0,0,0,1,12,88,4,2,6,0,20
NY_2023_19,15.24,5081,39000,8,10,6,2,3,1,70,0,0,30,10,40,0,40,0,10,40,43,17,0,0,0.5,0,0,3,0,0,0,1,0,0,0,1,24,89,4,2,5,0,30
OH_2023_09,10.49,5000,110000,22,5,8,3,3,1,0,0,0,100,40,10,0,45,5,0,24,3,3,70,0,0.09,0,0,3,0,0,1,0,0,1,0,0,24,80,0,10,10,0,100
OH_2023_10,21.47,12300,215000,17,2.5,13,3,2,1,0,0,0,100,30,0,60,0,10,0,0,0,0,100,0,0,1,5,3,0,0,1,0,0,1,0,0,36,80,0,10,10,0,100
OH_2023_13,32.01,15000,170000,11,5,8.5,3,3,1,0,0,0,100,10,20,70,0,0,0,5,44,44,0,7,0.25,0,0,3,0,0,1,0,0,1,0,0,24,80,0,10,10,0,100
WI_2023_01,3.58,5963,71544,12,3,18.5,3,3,0,0,0,0,100,0,0,100,0,0,0,5,6,27,0,62,0.27,0,0,3,0,0,1,0,0,1,0,0,12,75,0,0,25,0,100
WI_2023_02,4.03,2189,82546,38,12,3.5,1,1,1,100,0,0,0,2,0,0,90,0,8,18,44,38,0,0,0.25,0,0,2,0,0,0,1,0,0,0,1,24,57,11,2,30,0,0
WI_2023_03,13.78,6932,314503,45,13,1,1,2,1,0,0,100,0,2,0,0,95,0,3,36,31,18,0,15,1.28,1,5,2,0,0,0,1,0,0,0,1,26,75,0,0,25,0,0
WI_2023_04,10.07,825,5878,7,3,9,2,3,1,0,0,0,100,10,0,0,70,15,5,0,0,0,100,0,0,0,0,3,1,0,0,0,0,0,0,1,18,75,0,0,25,0,100
WI_2023_05,4.75,15637,131116,8,4,6,2,2,1,0,0,0,100,0,0,0,99,0,1,17,43,40,0,0,0.73,0,0,2,0,0,1,0,0,0,0,1,12,0,0,0,0,100,100
WI_2023_06,7.58,1929,55511,29,5,6,2,2,1,10,90,0,0,0,0,95,5,0,0,14,54,30,1,1,0.2,0,0,1,1,0,0,0,0,0,0,1,18,0,0,0,0,100,90
WI_2023_08,13.68,1415,4070,3,3,16,3,3,1,100,0,0,0,45,2,50,0,0,3,17,45,38,0,0,0.07,0,0,3,0,0,0,1,0,0,0,1,18,70,0,0,30,0,0
WI_2023_09,11.72,2832,126324,45,3,19,2,3,1,100,0,0,0,0,0,0,99,1,0,8,45,47,0,0,0.25,0,0,3,0,0,0,1,0,0,0,1,18,70,0,0,30,0,0
WI_2023_10,4.75,635,20474,32,7,2,3,3,0,0,0,0,100,0,0,0,50,50,0,33,51,16,0,0,0.51,0,0,3,0,0,1,0,0,0,0,1,36,70,0,0,30,0,100
WI_2023_12,9.26,3410,31035,9,6,7.8,3,2,1,0,0,0,100,1,50,20,28,1,0,0,0,0,0,100,0,0,0,3,1,0,0,0,0,0,0,1,24,70,0,0,30,0,100
WI_2023_14,27.44,4576,47916,10,8,15,3,3,1,0,0,0,100,40,8,0,0,0,52,36,33,19,0,12,0.21,0,0,3,0,0,1,0,0,0,0,1,18,100,0,0,0,0,100
WI_2023_15,20.45,2388,27574,12,9,18,3,3,1,0,100,0,0,5,20,0,65,5,5,12,51,35,1,1,0.29,0,0,3,0,0,1,0,0,0,0,1,36,70,0,0,30,0,100
WI_2023_16,40.77,3209,8030,3,10,7.5,3,3,1,100,0,0,0,40,10,0,35,5,10,0,0,0,100,0,0,0,0,2,1,0,0,0,0,0,0,1,18,70,0,0,30,0,0
WI_2023_18,2.92,118,60999,517,8,7,2,2,0,0,0,0,100,0,100,0,0,0,0,0,0,0,100,0,0,0,0,2,0,0,1,0,0,0,0,1,12,75,0,0,25,0,100
WI_2023_19,9.65,2039,19722,10,3,2,2,3,0,90,0,0,10,0,0,0,100,0,0,0,0,0,0,100,0,0,0,3,0,1,0,0,0,0,0,1,6,75,0,0,25,0,10
WI_2023_20,13.91,4000,155945,39,3,7.5,2,2,1,10,0,0,90,0,1,0,98,0,1,0,0,0,100,0,0,1,1,3,0,0,0,1,0,0,0,1,18,70,0,0,30,0,90
